g0,g1,g2,x0,x1,x2,x_0,x_1,x_2
0.0635607,-0.554985,-2.43639,0.138359,0.276089,-3.08838 ,0.262745,0.566747,2.6582
0.415048,-0.528087,3.07204,0.17153,-0.419355,1.23832 ,0.829857,-0.880541,1.22142
0.431196,-0.271521,1.93118,-0.0048058,0.394318,-1.23058 ,0.231617,0.825316,-1.21453
-0.227966,0.576845,2.71198,0.249193,-0.659107,2.77521 ,0.903377,-2.00067,2.75534
0.257079,-0.22153,-2.72086,0.551546,0.203702,2.18283 ,1.01348,0.236487,1.75566
0.0626435,-0.630268,-2.47439,0.251659,0.183142,0.368595 ,0.502648,0.360121,0.168236
0.613072,0.0855888,0.431008,-0.467902,-0.307451,-2.45795 ,-2.00015,-1.12447,-2.47616
-0.455511,-0.232681,-2.68613,0.197862,-0.476131,-3.07745 ,0.612742,-2.00039,3.02368
0.0197243,0.152256,0.762557,-0.208261,0.0118016,-2.85896 ,-0.4723,0.0516039,-2.83558
0.334601,0.297376,-0.372337,0.20397,0.04072,0.938725 ,0.343515,-0.160712,0.967301
0.515307,-0.087767,2.79529,0.499212,-0.411899,1.8401 ,2.00003,-1.4615,2.14286
0.555117,-0.42096,-2.53728,0.420613,0.309304,0.0206673 ,0.55752,-0.429163,0.709967
0.389214,-0.582557,-0.498025,0.150574,-0.523489,-2.72299 ,0.429782,-0.57326,-2.3902
0.00893271,0.615163,-1.88043,-0.423028,0.23533,1.02125 ,-0.59959,0.56321,0.645562
0.0635751,-0.261863,-2.35157,-0.538708,-0.397066,2.26788 ,-1.22606,-1.40859,-2.88853
0.16829,0.419267,-2.10951,-0.00160825,-0.396593,-1.39939 ,0.315965,-1.52845,-1.09565
-0.499348,0.0844118,-2.03338,-0.0430013,0.390002,-0.504971 ,-0.814047,0.588728,-0.816895
-0.194876,0.321295,0.117566,0.315178,-0.134373,-0.440509 ,1.49264,-0.629592,-0.440513
-0.217661,0.505858,2.54763,0.155353,0.198337,1.73181 ,-0.599827,0.70602,2.68722
0.412378,0.165654,1.1855,0.432114,-0.365823,0.185119 ,2.0006,-1.5982,0.31232
0.501492,-0.451057,3.09307,0.30035,0.221196,1.51151 ,0.513749,-0.637421,1.75779
-0.314851,-0.0133589,1.90012,-0.662121,-0.238481,-1.91902 ,-2.00123,-0.825536,-1.91117
0.0271747,0.696835,1.15954,-0.553949,-0.17129,0.576573 ,-1.52544,-0.0567842,0.464248
0.0606838,-0.406155,-2.25815,-0.23335,0.250044,1.97881 ,-0.494361,0.47901,2.47523
0.138212,-0.194405,3.1024,0.495771,-0.518354,-1.39894 ,2.00048,-1.61487,-1.39146
-0.595749,-0.0973738,-1.66893,-0.357821,0.0906553,-1.73395 ,-1.6986,-0.90928,-1.73877
0.172761,0.328083,1.56694,0.195545,0.330119,0.698549 ,0.27125,0.786274,0.737835
-0.121615,0.393418,-1.15575,0.359053,-0.514713,0.655934 ,1.47177,-1.19419,1.40844
-0.0318217,-0.235651,-0.0605422,-0.326197,0.448265,2.42982 ,-0.56756,0.65025,2.74018
0.328104,0.256,-2.00324,0.474656,-0.0578197,2.36183 ,1.33519,-0.234135,2.93153
-0.171233,-0.3331,-1.77449,0.265115,-0.0750479,-1.69825 ,0.557892,-0.182013,-2.1795
0.546246,-0.0980697,2.86477,-0.392549,-0.349574,-2.59434 ,-0.96445,-1.09562,-1.27993
-0.313296,-0.463877,2.92676,0.162391,0.659944,1.96887 ,0.287603,1.03589,1.93716
-0.307669,-0.099136,3.09773,0.629164,0.263293,1.44576 ,1.23725,0.500481,2.27496
0.390743,-0.48415,1.79757,-0.572117,0.248267,2.93648 ,-1.67596,0.538627,3.01152
0.0592766,0.661045,2.09174,0.0731602,0.441465,1.059 ,0.0618761,0.979839,1.17023
-0.0272361,0.120588,-0.977644,0.0358468,-0.577304,-0.436221 ,-0.017303,-1.73234,-0.375224
0.090486,-0.593737,1.13475,-0.057632,-0.433039,2.2016 ,0.186469,-0.691214,2.22729
-0.521874,-0.0969824,-2.03796,0.0291993,-0.168416,-2.11908 ,0.222513,-0.448265,-2.21347
0.204797,0.00818541,-1.60008,0.144673,-0.18587,-3.04275 ,0.443867,-0.54249,-2.80728
-0.257971,0.529986,-0.430932,0.236239,0.595613,0.828196 ,0.244824,1.64036,0.862038
-0.141927,-0.363019,1.50027,0.250166,0.342023,-1.18169 ,0.454504,0.869179,-1.18466
0.416328,-0.313434,-2.10594,0.504153,-0.347743,-1.06818 ,1.60887,-1.27574,-1.0062
-0.157899,-0.460249,1.00674,-0.319165,-0.336017,-1.98089 ,-0.542821,-0.718177,-1.57618
-0.377695,0.105038,0.432012,-0.10957,-0.619012,1.62657 ,-0.636369,-1.4716,1.1098
-0.423365,-0.0557857,-1.58736,0.338199,0.366841,0.357485 ,0.689905,0.674609,-0.0905811
0.524546,0.401303,-0.56477,0.243608,-0.0216482,-2.4668 ,0.488627,-0.243586,-2.42541
0.171583,0.26575,-0.377212,0.218821,0.375766,-0.72667 ,0.345267,0.714608,-0.712433
-0.162009,-0.465104,2.19436,0.349064,0.382086,1.60617 ,0.579304,0.579988,1.70262
0.398403,-0.163091,-1.84192,0.00252317,-0.682745,0.0038855 ,0.223424,-1.90863,0.414493
-0.366576,-0.266812,0.365562,-0.133808,-0.56891,-0.574287 ,-0.259144,-1.17239,0.193196
0.165062,0.157364,-2.30744,-0.283644,0.439597,-2.57307 ,-0.501635,0.67,-2.2071
-0.211278,0.680265,-1.50694,0.558499,-0.44959,1.18921 ,1.20167,-1.05008,-0.520308
-0.28074,0.344976,-2.79934,-0.233326,0.235192,-3.10238 ,-0.266409,0.692034,-2.73201
-0.524447,0.482778,-2.56706,0.0198328,-0.540181,1.90456 ,-0.316578,-1.57185,1.60204
0.0456123,-0.713912,-1.51014,-0.286044,-0.448864,1.05144 ,-0.712072,-1.03004,1.15802
0.494512,0.292684,1.05176,0.140468,-0.665276,-2.20941 ,0.30275,-0.92259,-2.62275
0.355,-0.596937,-1.44397,0.218748,-0.46662,2.89663 ,1.0081,-1.07679,3.00869
0.050088,-0.179451,-1.9912,0.0742641,0.48389,-0.317951 ,0.0768654,0.841663,-0.253341
-0.426262,-0.204864,-0.60006,0.339192,-0.12644,1.2375 ,0.604963,-0.323258,0.68371
-0.229511,-0.477136,-2.80857,0.103559,0.349972,-2.56398 ,0.130151,0.689904,-2.58712
-0.300975,0.47283,-0.64499,-0.265158,0.309452,1.97587 ,-0.304392,0.500429,1.37132
0.108902,-0.438241,-0.540106,0.514109,0.446387,-0.883451 ,0.767549,0.532589,-1.3758
0.283944,-0.121378,0.98677,0.366156,0.445104,1.76044 ,0.590617,0.774481,1.7604
0.170198,-0.412712,0.123191,-0.256246,-0.612957,0.152132 ,-0.348399,-1.91009,0.602361
-0.143184,-0.529747,1.74091,-0.370894,-0.0138434,-0.229582 ,-0.598712,-0.273096,-0.377296
-0.100397,0.403861,-1.94242,-0.100961,0.684157,0.327566 ,-0.173456,1.10044,0.408813
-0.536403,0.22315,1.57667,-0.43645,-0.346104,2.94404 ,-2.00024,-1.60994,2.68697
0.52284,0.223832,1.68113,0.204356,0.357557,-1.00202 ,1.36567,0.029825,-0.948002
-0.427576,-0.542582,1.68069,0.615062,0.222495,0.103023 ,1.59638,0.724103,0.32614
-0.206428,-0.0599074,0.440814,-0.282388,-0.175899,-1.74916 ,-1.33331,-1.01082,-1.77681
-0.329971,-0.0473542,2.69961,-0.100956,0.244508,-2.43636 ,-0.402833,-0.218357,-1.95723
-0.392521,-0.012618,1.41376,-0.0607794,-0.370657,-0.987511 ,-0.24127,-1.43749,-0.907362
0.392205,-0.267155,2.79609,-0.225688,0.192284,-2.36907 ,-0.454415,0.430894,-2.22763
-0.142757,0.495308,-1.64102,0.294653,-0.0653055,-2.49066 ,1.09474,-0.160684,-2.49139
0.560022,-0.209254,0.708438,-0.649188,0.189652,-0.244477 ,-1.36587,0.126535,0.552124
0.227815,-0.359263,2.78848,0.211803,-0.549241,-1.54437 ,0.930026,-1.4559,-1.1507
0.479828,0.0766798,2.9582,-0.221383,-0.331768,1.36329 ,-0.389172,-0.99984,1.95024
0.64203,0.161157,-3.01928,0.595675,0.377311,2.43176 ,0.797798,-0.0571283,2.02841
-0.564216,-0.097223,2.84703,-0.0610527,0.247044,0.73185 ,-1.00631,-0.402637,0.189208
-0.62336,0.333398,-0.121887,0.336177,0.437103,1.46181 ,0.524717,0.732994,0.903742
0.0534255,-0.225299,0.232773,-0.0929407,0.620054,-0.283809 ,-0.252144,1.00156,-0.206335
-0.474382,0.108994,2.89245,0.671163,-0.252163,1.80473 ,2.00075,-0.929555,1.66299
-0.522764,0.0379654,3.0145,0.453985,-0.01741,1.19954 ,1.11596,-0.290887,0.702578
-0.510634,-0.0771825,-2.4602,0.29613,0.0892601,2.1021 ,0.691429,0.199419,1.92188
-0.330723,0.626575,-1.42354,-0.716273,-0.0271885,-0.766059 ,-1.82483,-0.132471,-0.86615
-0.447641,0.000896625,-0.179049,-0.213951,0.270968,-2.48509 ,-0.534957,-0.156072,-1.91837
-0.106602,-0.461333,-2.39418,-0.714092,-0.0269449,-0.83748 ,-1.3676,-0.118738,-1.19052
-0.0752804,0.670421,-1.24895,0.553,0.317807,0.11085 ,1.0842,0.924156,0.132196
0.398583,0.432748,2.87309,-0.395153,-0.524214,3.08301 ,-1.99801,-2.00241,3.07772
0.413559,-0.454378,-1.05653,0.064575,-0.631024,-2.80479 ,0.0438288,-1.26509,2.1129
0.404596,0.172084,0.902412,0.104988,0.506716,3.13008 ,1.91067,-1.46204,3.10178
0.376627,0.0489664,2.99564,-0.423368,-0.0290986,1.82283 ,-1.37547,-0.297569,2.12207
-0.306789,0.0864826,0.209504,-0.43595,0.0354523,2.46758 ,-1.44438,-0.0501239,2.47451
-0.588074,-0.33524,0.761323,-0.0959488,-0.37731,2.76306 ,-0.243515,-0.902483,2.37484
0.182271,0.557199,0.503148,0.27271,0.0143247,1.07964 ,0.825227,-0.164191,1.17315
-0.6407,-0.167617,-0.262364,0.602496,0.387803,-1.45443 ,1.20375,0.705329,-0.84385
0.293514,-0.596278,0.356017,-0.31133,0.444654,-0.744847 ,-0.600554,0.949157,-0.741832
-0.332873,0.338164,0.920669,0.399265,0.411333,2.423 ,0.970794,1.42189,2.53587
-0.311881,0.385793,2.99225,0.326003,-0.286934,-1.85243 ,1.51139,-2.00047,-2.23861
0.444048,-0.449611,1.75277,0.50125,-0.342555,2.10401 ,0.669248,-0.747091,2.17912
0.130179,0.442769,-0.909629,0.34394,-0.221185,1.48601 ,2.00037,-0.680543,1.68688
-0.311184,0.429876,-1.18933,0.26594,-0.0928606,-1.29486 ,0.799945,-0.142298,-1.30345
-0.5562,0.0152585,2.48727,-0.703132,-0.00421168,1.60353 ,-1.69181,-0.237199,1.95983
-0.0111208,-0.348149,3.11755,-0.341698,0.268428,1.68584 ,-0.61924,0.38322,1.52515
0.466335,0.000996528,1.45089,-0.626329,0.286586,-1.70643 ,-1.82287,0.647903,-1.62729
0.14089,0.256043,0.449937,-0.294719,-0.443661,-2.10188 ,-1.47894,-1.38225,-2.94361
