g0,g1,g2,x0,x1,x2,x_0,x_1,x_2
0.389702,-0.0794435,-0.686249,-0.135233,0.597884,1.82962 ,-0.140702,0.88416,1.6692
-0.0797237,0.562847,-2.62834,-0.162433,0.246004,-0.276606 ,-0.0877794,0.560396,-0.222964
-0.676871,0.0528412,-1.37238,0.0157582,0.494333,-2.50054 ,-0.216122,0.635457,-2.10417
-0.356739,-0.312053,-0.0605028,-0.672716,-0.15748,-2.77344 ,-0.691992,-0.424329,2.94732
-0.433521,0.467638,-0.442805,0.333842,0.310765,-0.251332 ,0.367145,0.525486,-0.261591
-0.032976,0.544755,-0.546731,0.0669032,0.551752,2.34996 ,-0.207514,0.710252,2.58098
0.245539,0.086791,-0.663346,-0.179707,-0.257937,1.61164 ,-0.382795,-0.493731,1.45862
-0.104717,-0.381328,-2.49943,0.585165,-0.0754946,0.248654 ,0.825644,-0.203025,0.0470612
-0.449146,0.207692,0.18951,-0.239414,0.569676,1.38584 ,-0.391591,0.727077,1.16662
0.220829,0.0800359,-1.56452,-0.29212,0.512887,1.3858 ,-0.392576,0.790015,1.40277
-0.57615,-0.386695,0.797685,-0.41752,-0.473271,-2.46691 ,-0.724703,-0.426282,2.51278
0.510727,0.0355389,0.266351,0.409229,-0.112976,1.75609 ,0.741992,0.0167858,1.83683
-0.206861,-0.672479,0.842344,0.633713,0.0278889,0.105554 ,0.811551,-0.105383,-0.779106
-0.452573,-0.483134,2.42283,0.433683,-0.0967723,2.23212 ,0.656224,-0.212413,2.12512
0.0777048,-0.486116,2.17428,-0.643436,0.160938,2.90912 ,-0.887348,0.170053,-2.63778
0.0360799,0.53488,-0.985954,0.29148,-0.63884,-1.98853 ,0.432774,-0.956149,-2.04664
0.189966,0.423071,-3.10048,0.611395,-0.161429,-1.0185 ,0.874365,-0.232423,-1.00826
0.268573,0.319344,0.86155,0.465039,0.286848,-2.33801 ,0.624096,0.47857,3.09454
-0.334585,-0.485501,1.1566,-0.715155,-0.0547531,2.03419 ,-0.825101,-0.285017,2.7433
0.199611,0.351875,2.94586,0.289492,-0.630065,2.16667 ,0.407182,-0.903125,2.17241
-0.346875,-0.123461,-0.040053,-0.650039,-0.168403,-3.11158 ,-0.944254,-0.337133,-2.36103
0.259386,-0.320637,-1.91364,-0.647227,-0.219671,1.40174 ,-0.871604,-0.362016,1.45111
-0.386514,0.450391,0.741317,-0.137682,0.3791,-0.218406 ,-0.388639,0.472794,-0.450335
0.0749082,0.583637,3.09266,0.466419,0.105842,1.23255 ,0.684411,0.143772,1.7975
-0.643426,-0.26417,0.898413,0.224049,-0.281475,1.46871 ,0.369913,-0.468501,1.47972
-0.344384,-0.349112,0.174723,0.0891475,0.487875,0.117602 ,0.0491052,0.757293,-0.399317
-0.387336,-0.27978,-0.734567,-0.0902954,-0.548534,-2.12935 ,-0.192056,-0.736571,-1.71413
0.599066,0.0677262,0.195557,-0.441181,0.49455,1.13878 ,-0.540813,0.726941,1.10654
0.189219,0.361478,2.77686,-0.459999,0.253887,0.51811 ,-0.656601,0.354922,0.602057
